Establishment,Type,Area,Location,Address,Description,Opening hours,Phone,Email,Website,Social media
Haru Restaraunt,Restaurant,Nairobi,Karen,"Ground Floor Karen Professional
Centre, Karen Road, Nairobi

","Haru sushi bar and Japanese restaurant is a healthy obsession of creating truly unforgettable dishes with the highest quality ingredients, and bringing the authenticity of Japanese cuisine to its diners, Haru's clientele can expect to find a scintillating selection of freshly prepared mouth-watering dishes, the most innovative and deliciously inspiring sushi & sashimi creations, impeccable plating, culinary artistry and exquisite presentation skills matched with superb, knowledgeable and attentive service. You can enjoy your dining experiences in 3 different settings; by the sushi bar (offers guests an engaging view into the freshness, quality, and art of sushi and sashimi creation), on the casual outdoor terrace or on theupper level indoors.",,0700 945 400/0720 945 400,harukenya@hotmail.com,,
Khazanah,Restaurant,Nairobi,Gigiri,"Village Market
Gigiri, Limuru Rd,
Nairobi, Kenya

","If you are looking for the finest in indian cuisine, visit Khazana, famous for its freshly made selection of delicious indian gourmet cuisine. Located at the vibrant Village Market in Gigiri, Nairobi, Khazana serves mouth watering dishes made with the highest quality of the freshest ingredients. The menu features indian curries, salads, wraps, bbqs etc. Come by Khazanah at The Village Market and enjoy our delicacies.",,0712 848 770 / 0727 329 937,info@asianbykhazanah.com,,
Kilele,Restaurant,Nairobi,Westlands,"ibis Styles - Nairobi, Westlands
Rhapta Road, Nairobi, Kenya.
","A modern and stylish roof top cocktail bar, with panoramic 360 degree views of the city and countryside. Serving a range of canapes and snacks.
Open from 11:00am till late.",,020 5147500 / 020 7757000 / 0713 120539,,accorhotels.com,
Little Cake Girl,Restaurant,Nairobi,Kiambu Road,"Runda, Kiambu Road
0710311405
Facebook & Instagram: littlecakegirl",Little Cake Girl is the official brand behind our spectacular designer cakes and sugarcraft training courses.,,,,,
Mister Wok,Restaurant,Nairobi,Parklands,"Kengen Apartments Parklands

","Mister Wok is an all rounded restaurant offering mouth-watering meals for all palates.

Come give your taste buds a superb experience with our cuisine. We only use local ingredients and halal meats. Having been in the market for over 14 years, we specialize in giving our clients an experience. We offer outside catering, can organize parties, as well as deliver both to your home or at the office. With 5 branches across Kenya, our menus are flexible to suit you.",,0724 100100 / 0737 500500,events@misterwok.net,www.misterwok.net,
Mister Wok,Restaurant,Nairobi,Two Rivers,"Two Rivers Mall,
Level One River Front

","Mister Wok is an all rounded restaurant offering mouth-watering meals for all palates.

Come give your taste buds a superb experience with our cuisine. We only use local ingredients and halal meats. Having been in the market for over 14 years, we specialize in giving our clients an experience. We offer outside catering, can organize parties, as well as deliver both to your home or at the office. With 5 branches across Kenya, our menus are flexible to suit you.",,0753 222222,events@misterwok.net,www.misterwok.net,
Mister Wok,Restaurant,Nairobi,The Hub,"The Hub Karen, Lakeside Food Court
","Mister Wok is an all rounded restaurant offering mouth-watering meals for all palates.

Come give your taste buds a superb experience with our cuisine. We only use local ingredients and halal meats. Having been in the market for over 14 years, we specialize in giving our clients an experience. We offer outside catering, can organize parties, as well as deliver both to your home or at the office. With 5 branches across Kenya, our menus are flexible to suit you.",,0701 843482,events@misterwok.net,www.misterwok.net,
Mister Wok,Restaurant,Nairobi,Mbsa Road,"Capital Center, Mombasa Road

","Mister Wok is an all rounded restaurant offering mouth-watering meals for all palates.

Come give your taste buds a superb experience with our cuisine. We only use local ingredients and halal meats. Having been in the market for over 14 years, we specialize in giving our clients an experience. We offer outside catering, can organize parties, as well as deliver both to your home or at the office. With 5 branches across Kenya, our menus are flexible to suit you.",,0722 248248 / 0733 753999,events@misterwok.net,www.misterwok.net,
Moca Loca,Restaurant,Nairobi,Thika Road,"Moca Loca Garden City
1st floor, Garden City Mall
Thika Superhighway Exit 7
","Join us at Moca Loca Coffee & Lounge for great coffee, tasty meals, drinks & crazy cocktails in a beautiful space with ambiance! Our menu offers a variety of appetisers and wholesome meals that are a fusion of culinary traditions and tastes from around the world, freshly prepared and crafted from quality products. We have mastered the art of mixology and our cocktail menu showcases both classic and speciality cocktails. Make a point to join us every Saturday and Sunday for live music; a little bit of Jazz, Rhumba or Reggae at our Garden City location and Friday DJ and band night at our Nakuru branch.",,0708084835 / 0708084839,,,
Muna Tree,Restaurant,Nairobi,Limuru,"Kabuku-Tigoni Road, Limuru, Kenya

","Muna Tree Cafe is Brackenhurst's al la carte restaurant. It's a perfect excuse to escape from the city for an afternoon meal, a nice family brunch, or even a date night dinner in a quiet setting. The menu features a variety of foods from sizzling fajitas, wood fired pizzas, fresh salads and hamburgers. The Muna Tree Bakery is renowned for its homemade donuts, chocolate cake, cookies and so much more. All vegetables are sourced directly from the Brackenhurst organic garden or purchased from local farmers. We are open Sunday to Saturday from 6:30 am to 9:30 pm.",,0700545141,marketing@brackenhurst.com,,
Ocean Basket ,Restaurant,Nairobi,"Westlands, Karen","The Oval, Ring Road, Parklands, Nairobi
The Hub, Dagoretti Road, Karen


","Discover Kenya's No1 Seafood restaurant, as voted by you. We pride ourselves in serving the best quality Seafood at the best price. We have a wide array of mouth-watering meals to suit every person, situation and taste.",,The Oval - 0770227538                      The Hub - 0780799708,customercare@oceanbasket.co.ke,kenya.oceanbasket.com,
Palm Cafe,Restaurant,Nairobi,Aboretum,"Heri Heights Apartment Hotel
Kolobot Drive, off Arboretum Road

","Palm Café at Heri Heights offers a delectable, simple cuisine served in an authentic yet contemporary way. The quick and tasty dishes are prepared using the finest, fresh, seasonal and organic ingredients which evokes our relaxed Kenyan hospitality. Service offered at Palm Café
includes daily breakfast buffet, all day a la carte menu, weekly Chef’s specials, Happy Hours, poolside Sunday BBQs and private & corporate events / functions. With our recently upgraded poolside restaurant you can enjoy a live cooking station along with more outdoor seating.",,020 232 1932 / 3 / 0738321932,reservations@heriheights.com palmcafe@heriheights.com,www.heriheights.com,
Pampa,Restaurant,Nairobi,Lavington,"Lavington, King’ara Road,Behind Geco
car wash 

","Pampa Churrascaria is a haven for meat lovers and vegeterians. Our Rodizio Concept (Eat as much as you like) entails a four course meal. Soup of the day, 16 types of salads, 2 hot dishes, 12 types of grilled meat, 4 side dishes and house dessert. We offer outside catering services for all types of events from a minimum of 10 pax to a Maximum of 3,000 pax. Our menus are flexible to suit clients needs.
",Open daily for lunch and dinner,0727 785302,reservation-nbi@pampagrillkenya.com,www.pampagrillkenya.com,
Pete's,Restaurant,Nairobi,Ngong Road,"Bishop Magua Centre, Ground Floor
Opposite Uchumi Hyper on
Ngong Road


","As you walk into any of our café locations you will be hit witharomas of freshly ground and brewed coffee, complimented by freshly baked pastries. Pete’s has become a house hold name as Nairobi’s Best Place for its Burritos, Quesadillas and Taco’s which are second to none. We are known as a coffee company before anything else. We go out of our way to source for quality coffees all over the region as each country’s coffee is unique in its own way and customers have different taste preferenceshence we are duty bound to satisfy each palate.",,0202177453,coffee@petescoffee.co.ke,http://www.petes.co.ke/,
Pete's,Restaurant,Nairobi,Kilimani,"Chania Avenue, Behind Yaya Centre, next to Mkopa Solar","As you walk into any of our café locations you will be hit with aromas of freshly ground and brewed coffee, complimented by freshly baked pastries. Pete’s has become a house hold name as Nairobi’s Best Place for its Burritos, Quesadillas and Taco’s which are second to none. We are known as a coffee company before anything else. We go out of our way to source for quality coffees all over the region as each country’s coffee is uniquein its own way and customers have different taste preferences hence we are duty bound to satisfy each palate.",,0724334477,coffee@petescoffee.co.ke,http://www.petes.co.ke/,
Picazzo,Restaurant,Nairobi,Karen ,"Upper Ground Floor, The Hub, Karen","Picazzo is a Spanish Restaurant based at the Hub Karen on the first floor, opposite Nairobi Sports House, overlooking the lake. Picazzo has an extensive a la carte, tapas and cocktails menu. Indoor and outdoor seating are both available. ",Mon-Sat: 9:00am - 9:00pm,0714653355,reservations@picazzo.co.ke,,
Que Pasa,Restaurant,Nairobi,Karen,"Karen Shopping Centre, Karen

","Que Pasa is a vibrant bar & bistro right in the heart of Karen, offering a gorgeous selection of spirits and an excellent menu from breakfast through lunch and dinner.",,0728 272 902 0721 749 927,Quepasakaren@gmail.com,http://quepasa.co.ke,
Rue 104,Restaurant,Nairobi,Town,"Utalii House, Ground Floor
CBD, Nairobi


",Rue 104 Lounge has taken an urban approach to Ethiopian Cuisine. The menu also features lots of continental dishes.,,0796104111,,www.rue104.co.ke,Facebook: Rue 104 Lounge & Restaurant
Thai Village,Restaurant,Nairobi,Gigiri,"Village Market
Gigiri, Limuru Rd,
Nairobi, Kenya
","At Thai Village, we bring you a taste of this beautiful part of the world. We offer delicious Thai food with authentic Thai flavour made with quality ingredients at affordable prices, with dine-in and takeaway options available. Thai Cuisine has become an international phenomenon offering a wide variety of tastes and flavours. The subtle mixing of herbs and species and fresh ingredients makes your dining a special and culinary experience.",,0712 848 770 /  0727 329 937,info@asianbykhazanah.com,,
The Arbor,Restaurant,Nairobi,Lavington,"Next to Ebru TV, 69671 00400, James
Gichuru Road, Nairobi, Kenya

","The Arbor is an eco-friendly garden cafe with an eclectic selection of food and also a marketplace in a tranquil garden setting. At The Arbor we believe food should feel as good as it tastes. We are committed to incorporating fresh, homemade food into our dishes.
",Please note that we are open Tuesday & Sunday : 9am - 5pm Wednesday - Saturday: 9am - 9pm,0729 400291,,http://thearbor.wix.com/thearborcafe,
The Concord,Restaurant,Nairobi,Parklands,"31, Wangapala Road, Parklands
Nairobi, Kenya


","A statement of architectural excellence, The Concord is an elegantly designed hotel featuring the best of convenience, luxury and entertainment. Strategically located on Wangapala Road, Nairobi within walking distance from The Diamond Plaza Shopping Centre. The concord comes replete with life's finest luxuries. Take a leisurely dip at the aquamarine pool, and enjoy a host of mouth-
watering delicacies. Embark on a gastronomic journey filled with delights from all around the world. Sit back, relax and indulge in an exciting and innovative fare.",,0709466000,reservations@theconcordhotels.com,www.theconcordhotels.com,
The Grove,Restaurant,Nairobi,Riverside,"Corner of Riverside Drive and
Riverside Grove, Nairobi, Kenya


","The Grove Restaurant is located at the Rooftop of ExecutiveResidency, by Best Western. We offer breath taking views as you unwind from the hustle and
bustle of the city. There are plenty of options when it comes to enjoying bitings and beverages while taking in panoramic view of the surrounding areas. From casual to fine dining we offer an exceptional and elegant settings. With a variety of local and international cuisines our restaurant has something for every occasion.",,0727407167 / 0204071000,restaurant@bwexecutiveresidency nairobi.co.ke,www.bwexecutiveresidency nairobi.co.ke,
The Mayura,Restaurant,Nairobi,Karen,"Lower Ground Floor
The Hub, Karen

","THE MAYURA is THE FIRST modern Indian fine dining experience in Nairobi, Kenya. The menu is traditional classic with modern fusion. The master chefs have been brought from India to ensure true authentic Indian flavor. Sourcing is done from the best vendors to maintain highest levels of hygiene The first theme based restaurant in Kenya. The best décor – both indoors and terrace. With varied seating options – dining, cushion, coffee table, low height, even a swing – it is the best experiential dining in Nairobi.",Mon - Sat: 11:00am - 10:30pm,0737224422,,,
The Mayura,Restaurant,Nairobi,Westlands,"Kenrail Towers,
Ring Rd Parklands, Nairobi

","THE MAYURA is THE FIRST modern Indian fine dining experience in Nairobi, Kenya. The menu is traditional classic with modern fusion. The master chefs have been brought from India to ensure true authentic Indian flavor. Sourcing is done from the best vendors to maintain highest levels of hygiene The first theme based restaurant in Kenya. The best décor – both indoors and terrace. With varied seating options – dining, cushion, coffee table, low height, even a swing – it is the best experiential dining in Nairobi.",Mon - Sat: 11:00am - 10:30pm,0737 224444,,,
The Node,Restaurant,Nairobi,Westlands,"Woodvale Close, opposite Jacaranda
Hotel Nairobi, Westlands


","The Node is a multi-concept social space that is designed for guests to interact and connect with each other and nature over great food, drinks and entertainment.",,0711089000 / 0711089541,thenode@jacarandahotels.com,www.jacarandahotels.com,
Tin Roof Cafe,Restaurant,Nairobi,Karen,"Tin Roof Karen, The Souk, Dagoretti
Road, Opposite The Hub

","The Tin Roof Cafés, in Karen and Langata, are beautiful little boutique restaurants with delicious healthy menus and arrange of freshly made salads, all bursting with organic super-foods. Enjoy homemade dairy-free smoothies, freshly squeezed juices and our very own blend of freshly ground, hand-roasted Kenyan coffee. Children welcome.Climbing frames for kids.",,0706 348215,,http://www.souk-kenya.com,
Utamu,Restaurant,Nairobi,Westlands,"ibis Styles - Nairobi, Westlands
Rhapta Road, Nairobi, Kenya.
","A young and vibrant, informal, casual dining experience, which offers a wide selection of continental cuisine. We offer a family friendly dinning environment with 2 outside terraces with seating and patio heater. ",Dinner from 6:30pm - 11:30pm.,020 5147500 / 020 7757000 / 0713 120539,,"
accorhotels.com",
Wasp and Sprout,Restaurant,Nairobi,Loresho,"Old Loresho Shopping Centre
(Sikoka Place), Nairobi, Kenya

","Born in Kenya, East Africa, Wasp and Sprout is a lifestyle brand that represents African Living. Wasp and Sprout is a small cafe in the quiet neighborhood of Loresho, popular for our comfortable atmosphere and pocket friendly prices. Hope to see you soon.  ","Open Monday - Friday, 8:30am - 5pm Saturday & Sunday, 8:30am - 2pm.",0702 131 286,,www.waspandsprout.com,
Wildly Coffee,Restaurant,Nairobi,Langata,"KWS Headquarters
Langata Rd Nairobi, Kenya
","Wildly Coffee restaurant is strategically located inside the KWS Headquarters, along the busy Langata road. We offer a broad-based menu with imaginative, well-prepared and beautifully presented dishes and drinks which caters for all tastes. We are open daily for breakfast, lunch, dinner, drinks and snacks in-between.
Come by and experience variety of drinks and delicious dishes while appreciating the stunning environment away from the hustle and bustle of the city centre!",,0773 666 793 / 0701 311 347,,,"Twitter, Facebook & Instagram: @wildlycoffeeke"
Wing it,Restaurant,Nairobi,Karen,"Upper Ground Floor
The Hub Mall, Karen

",Wing it Nairobi is proud to be Kenya's first and only wings only fast food joint. Wing it has taken chicken wings to a whole new level saucing and tossing them in 12 different mouthwatering sauces. We love wings and thats why we make them with the care and serve piping hot. Our wings are made fresh never frozen and nothing sits under a heat lamps. Every order matters to us and we go out of our way to ensure every customer gets exactly what they order.,Mon-Sun: 11:00am - 9:00pm,0724 155554,info@wingitnairobi.com,,
Amandina ,Restaurant,Outside Nairobi,Watamu,"Turtle Bay Road, Watamu","Join us for a taste of paradise prepared by our world renowned chefs and served in our signature restaurant or under the shade in our tropical gardens. Embark on a culinary journey and delight in our Mediterranean, Moroccan and North African dishes created using the finest local vegetables, fruits and seafood straight from the neighbouring Indian Ocean. Afternoon tea and cakes, a variety of light bites and tapas are also available to help replenish your energy levels.",,Amandina Restaurant + 254 (0) 705 956 818 Medina Reception +254 (0) 710 571 515,,,
Bliss Spa,Spas and Salons,Outside Nairobi,Naivasha,"Buffalo Mall, Moi S Lade Rd, Naivasha



","Bliss Beauty is your one spot shop for your hair, makeup, beauty and spa services. Our pleasurable and caring services are tailored to treat your body with tenderness and understanding in the true realm of ancient wisdom. We strive to heal your body and relax your mind, reducing stress and restoring your calmness. We work with you to enrich your lawless and gorgeous skin to its perfection. We give exceptional service to delight you, with the aim of keeping Bliss Beauty as a one- stop landmark for total wellness. Our skillfully trained therapist, combine ancient wisdom with modern expertise.",,0734604428 / 0740492333 0726772191 / 0720218673,info@blissbeauty.co.ke,www.blissbeauty.co.ke,Facebook: @blissbeautynaivasha Twitter:@Bliss_BeautySPA
Brackenhurst,Hotel,Outside Nairobi,Limuru,"Kabuku-Tigoni Road, Limuru, Kenya

","Brackenhurst is the perfect location for corporate meetings, retreats, and family vacations. We provide warm, personal service
and quality facilities in an affordable, relaxing and inspiring atmosphere for up to 350 guests. Brackenhurst is surrounded by 100 acres of natural beauty including well-maintained gardens, indigenous forest and surrounding tea fields.",,0774040375 / 0700545141,marketing@brackenhurst.com,,
Diani Reef,Hotel,Outside Nairobi,Diani,"Diani Beach Road,Ukunda


","The Diani Reef Beach Resort is located by the world renowned Diani beach over a sprawling and serene area of 34 acres, it is truly a paradise waiting for you with a magical experience. Offering word class hospitality standards, this beach resort is the perfect destination fo rbeach holidays, corporate and social events and grand weddings. With multi-cuisine dining outlets, bars, well-appointed rooms and sites, swimming pool and spa, it promises nothing but the ultimate holiday experience.",,0709481000 / 0723786301,rsv@dianireef.com rsv1@dianireef.com,www.dianireef.com,
Fairview Estate,Coffee Estate,Outside Nairobi,Kiambu,"Kiambu, off Kiambu Road


","Fairview Estate as a brand is world renowned. We invite you to experience a coffee tour with us, which entails a learning session about the coffee production process and afterwards our coffee tourists get to sample our lovely coffee. They also get the opportunity to purchase some freshly ground coffee and have the exquisite taste at home. Our large estate offers wedding grounds, bird watching, dairy tours, nature walks and a wholesome enjoyable experience.
","Non-Resident: USD 30                           Resident: Ksh 2000
Kenyan Citizens (Adults):Ksh1000
Children (12-18): Ksh 500
Children under 12: Free entry with accompanying adult.",0771472359 / 020 4442481,info@fairviewestate.co.ke,www.fairviewestate.co.keo.ke,
Leopard Beach ,Hotel,Outside Nairobi,Diani,"Diani Beach Road, Kenya


","Welcome to Leopard Beach Resort & Spa.
A stylish and cosmopolitan resort situated on the world famous Diani Beach on Kenya's idyllic southern coast, undoubtedly Kenya's finest beach destination. The accommodation consists of standard and superior rooms, sea view cottages, honeymoon suites and villas. The Residences – our new addition of 28 villas each with its own pool. The resort consists of 05 restaurants and 04 bars, not forgetting the Uzuri Spa, an adventure center and conference facilities.",,"020 2049270/1/2, 0724255280,
0733202721","nbobookingoffice@leopardbeach
resort.com",www.leopardbeachresort.com,
Leopard Beach Chui,Hotel,Outside Nairobi,Diani,"Diani Beach Road, Kenya


","Welcome to Leopard Beach Resort & Spa.
A stylish and cosmopolitan resort situated on the world famous Diani Beach on Kenya's idyllic southern coast, undoubtedly Kenya's finest beach destination. The accommodation consists of standard and superior rooms, sea view cottages, honeymoon suites and villas. The Residences – our new addition of 28 villas each with its own pool. The resort consists of 05 restaurants and 04 bars, not forgetting the Uzuri Spa, an adventure center and conference facilities.",,"020 2049270/1/2, 0724255280,
0733202721","nbobookingoffice@leopardbeach
resort.com",www.leopardbeachresort.com,
Leopard Beach Spa,Hotel,Outside Nairobi,Diani,"Diani Beach Road, Kenya


","Welcome to Leopard Beach Resort & Spa.
A stylish and cosmopolitan resort situated on the world famous Diani Beach on Kenya's idyllic southern coast, undoubtedly Kenya's finest beach destination. The accommodation consists of standard and superior rooms, sea view cottages, honeymoon suites and villas. The Residences – our new addition of 28 villas each with its own pool. The resort consists of 05 restaurants and 04 bars, not forgetting the Uzuri Spa, an adventure center and conference facilities.",,"020 2049270/1/2, 0724255280,
0733202721","nbobookingoffice@leopardbeach
resort.com",www.leopardbeachresort.com,
Maya Spa,Spas and Salons,Outside Nairobi,Diani,"Diani Beach Road,Ukunda


","The Maya Spa is the finest in the Kenyan Coast. Our experienced wellness spa staff takes an uncompromising approach to your health, well-being and beauty. All the therapies being offered have been carefully chosen to create the perfect environment to relief stress and discomforts caused by urban life.",,0709481000 / 0723786301,rsv@dianireef.com rsv1@dianireef.com,www.dianireef.com,
Medina Palms,Hotel,Outside Nairobi,Watamu,"Off Turtle Bay Road, Watamu, Kenya


","Kenya has long been a favourite destination for exotic holidays. A land famed for its natural beauty, incredible scenery abundance of rare and amazing wildlife. Medina Palms is set on one of the top ten beaches of the world perfectly complementing this stunning beachfront and setting new standards in refined hospitality.

Designed to re-define you holiday experience, Medina Palms offers a personalised holiday experience with all-suite accommodation including luxury apartments, penthouses and villas whose contemporary Swahili design architecture was inspired by ancient seafarers who visited this coastline in the 12th Century.",,Reception +254 (0) 710 571 515 Reservations +254 (0) 718 152 999,reservations@medinapalms.com,www.medinapalms.com,
Mister Wok,Restaurant,Outside Nairobi,Nanyuki,"Cedar Mall, Nanyuki


","Mister Wok is an all rounded restaurant offering mouth-watering meals for all palates.

Come give your taste buds a superb experience with our cuisine. We only use local ingredients and halal meats. Having been in the market for over 14 years, we specialize in giving our clients an experience. We offer outside catering, can organize parties, as well as deliver both to your home or at the office. With 5 branches across Kenya, our menus are flexible to suit you.",,0787 110786 / 0722 786222,events@misterwok.net,www.misterwok.net,
Moca Loca,Restaurant,Outside Nairobi,Nakuru,"Moca Loca Nakuru
Kenyatta Avenue
Across from Master's Plaza
","Join us at Moca Loca Coffee & Lounge for great coffee, tasty meals, drinks & crazy cocktails in a beautiful space with ambiance! Our menu offers a variety of appetisers and wholesome meals that are a fusion of culinary traditions and tastes from around the world, freshly prepared and crafted from quality products. We have mastered the art of mixology and our cocktail menu showcases both classic and speciality cocktails.
Make a point to join us every Saturday and Sunday for livemusic; a little bit of Jazz, Rhumba or Reggae at our Garden City location and Friday DJ and band night at our Nakuru branch.",,708084839,,,
Ol Moran,Hotel,Outside Nairobi,Masai Mara,"Masai Mara, Kenya","This is an exclusive tented camp for those who want to be true to wild experience. The camp is situated within the Masai Mara Eco-system and on the banks of Ololaimutia River which is a watering point for most of wild animals especially elephants, buffalos, antelopes etc
The camp is comprised of 19 self contained tents each with a hot sho wer. Available to you is a cozy lounge designed to give you ataste of modernity in the heart of Maasai Mara as well as a well stocked bar with both alcoholic and non-alcoholic brands. It is attached to the Lounge and next to the Dinning.",,0754267041 / 0751388305 / 03882923,olmorantentedcamp08@gmail.com,www.olmorantentedcamp.com,
Pelican Lodge ,Hotel,Outside Nairobi,Nakuru,"Lake Elementaita, Nakuru


","The Pelican lodge is an Exclusive, Luxurious & Outstanding property located along the shores of Lake Elementaita – a short 2 hours drive from Nairobi. With a total of 60 rooms (12 of which are executive cottages and 48 deluxe rooms) which are all tastefully furnished to give you the perfectrelaxed mood. Sumptuous restaurant meals are served in either buffet or A’ la carte options. The lodge is ideal for weekend getaways, conferencing, team building & Occasion celebrations.",,"0754267041, 0751388305,
03882923","thepelicanlodge@gmail.com ,
marketing@thepelicanldoge.com",www.thepelicanlodge.com,
Pelican Lodge Restaurant,Restaurant,Outside Nairobi,Nakuru,"Lake Elementaita, Nakuru


","The Pelican lodge is an Exclusive, Luxurious & Outstanding property located along the shores of Lake Elementaita – a short 2 hours drive from Nairobi. With a total of 60 rooms (12 of which are executive cottages and 48 deluxe rooms) which are all tastefully furnished to give you the perfectrelaxed mood. Sumptuous restaurant meals are served in either buffet or A’ la carte options. The lodge is ideal for weekend getaways, conferencing, team building & Occasion celebrations.",,"0754267041, 0751388305,
03882923","thepelicanlodge@gmail.com ,
marketing@thepelicanldoge.com",www.thepelicanlodge.com,
Sake Restaurant,Restaurant,Outside Nairobi,Diani,"Diani Beach Road,Ukunda


","The Sake Oriental Restaurant offers a fusion of Japanese Teppanyaki, Chinese & Indian cuisine. It features two teppanyaki tables that can be privately booked for an exclusive evening with friends and family. It
also offers a section with floor seating to enjoy Japanese food -the real Japanese way. The culinary experience of this multicuisine restaurant is authentic, as well as contemporary. Impeccable service will ensure that you always ask for more.",,0709481000 / 0723786301,"rsv@dianireef.com
rsv1@dianireef.com",www.dianireef.com,
Sakina Spa,Spas and Salons,Outside Nairobi,Watamu,"Off Turtle Bay Road, Watamu, Kenya


",Medina Palms welcomes you to tranquillity and relaxation set high above our tropical gardens. Enjoy a wide range of Africology signature treatments in the comfort of our scented treatment rooms that includes an aqua therapy facility. Relax on the roof top terrace sipping on a refreshing fruit cocktail or a healthy juice booster all in the cooling breeze of the Indian Ocean as our talented team of therapists indulge you in a manicure or pedicure that will leave your hands and feet rejuvenated.,,Spa Reception+254 (0) 708 577 283 Medina Reception +254 (0) 710 571 515,sakinaoceanspa@medinapalms.com,www.medinapalms.com,
